Train Loss,no train rows,Time taken (M),Date,Time
32.33690148,395264,4.86,01/12/2022,14:10:00
8.97372456,395264,4.74,01/12/2022,14:15:00
5.93636277,395264,4.85,01/12/2022,14:20:00
5.00950288,395264,4.85,01/12/2022,14:25:00
4.49689741,395264,4.92,01/12/2022,14:30:00
4.15401278,395264,4.75,01/12/2022,14:34:00
3.91299919,395264,4.75,01/12/2022,14:39:00
3.7375093,395264,4.9,01/12/2022,14:44:00
3.60447104,395264,4.91,01/12/2022,14:49:00
3.50263005,395264,5.05,01/12/2022,14:54:00
3.42088546,395264,4.61,01/12/2022,15:16:00
3.35384427,395264,4.58,01/12/2022,15:21:00
3.29941187,395264,4.67,01/12/2022,15:25:00
3.25058281,395264,4.71,01/12/2022,15:30:00
3.21037938,395264,4.63,01/12/2022,15:35:00
3.17614364,395264,4.67,01/12/2022,15:39:00
11.48100893,2299648,5.38,01/12/2022,18:07:00
4.35835442,2299648,5.3,01/12/2022,18:12:00
4.02067245,2299648,5.34,01/12/2022,18:17:00
3.88380161,2299648,5.46,01/12/2022,18:23:00
3.80622286,2299648,5.53,01/12/2022,18:28:00
3.75464945,2299648,5.6,01/12/2022,18:34:00
3.71712127,2299648,5.67,01/12/2022,18:40:00
3.68831945,2299648,5.73,01/12/2022,18:45:00
3.6653544,2299648,5.77,01/12/2022,18:51:00
3.64598592,2299648,5.79,01/12/2022,18:57:00
16.72192404,2299392,5.08,02/12/2022,12:59:00
5.06879801,2299392,5.09,02/12/2022,13:04:00
4.73445647,2299392,5.12,02/12/2022,13:10:00
19.24248525,2299392,5.27,02/12/2022,13:19:00
5.68019542,2299392,5.26,02/12/2022,13:24:00
4.60251089,2299392,5.29,02/12/2022,13:30:00
4.17350127,2299392,5.31,02/12/2022,13:35:00
3.95160204,2299392,5.37,02/12/2022,13:40:00
3.82034429,2299392,5.42,02/12/2022,13:46:00
3.73602799,2299392,5.43,02/12/2022,13:51:00
3.67654842,2299392,5.48,02/12/2022,13:57:00
3.63240265,2299392,5.52,02/12/2022,14:02:00
3.59630279,2299392,5.53,02/12/2022,14:08:00
9.82668292,4472320,9.14,03/12/2022,14:18:00
4.18666419,4472320,9.03,03/12/2022,14:27:00
3.96756726,4472320,9.15,03/12/2022,14:36:00
3.87804261,4472320,9.23,03/12/2022,14:45:00
3.82763499,4472320,9.37,03/12/2022,14:54:00
3.79479793,4472320,9.6,03/12/2022,15:04:00
3.77091847,4472320,9.63,03/12/2022,15:14:00
3.75353425,4472320,9.71,03/12/2022,15:23:00
3.73867593,4472320,9.74,03/12/2022,15:33:00
3.72711479,4472320,9.88,03/12/2022,15:43:00
3.71774858,4472320,9.98,03/12/2022,15:53:00
2.8135429,4472320,8.2,03/12/2022,16:03:00
8.45020937,5162496,9.1,04/12/2022,15:25:00
4.23203354,5162496,9.52,04/12/2022,15:35:00
3.9872442,5162496,9.47,04/12/2022,15:44:00
3.88611845,5162496,9.52,04/12/2022,15:54:00
3.82884313,5162496,9.61,04/12/2022,16:03:00
3.79153752,5162496,9.78,04/12/2022,16:13:00
3.76431139,5162496,9.77,04/12/2022,16:23:00
3.74310117,5162496,9.83,04/12/2022,16:33:00
3.72615961,5162496,9.93,04/12/2022,16:42:00
3.71242455,5162496,10.03,04/12/2022,16:52:00
3.70095248,5162496,10.04,04/12/2022,17:03:00
3.69117062,5162496,9.94,04/12/2022,17:12:00
3.68258434,5162496,10.04,04/12/2022,17:23:00
3.67536937,5162496,10.08,04/12/2022,17:33:00
3.66884158,5162496,10.17,04/12/2022,17:43:00
3.66341437,5162496,10.24,04/12/2022,17:53:00
3.6057866,5162496,11.13,05/12/2022,15:28:00
3.59787921,5162496,11.18,05/12/2022,15:40:00
