Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
0.55842521,32000,0.34306168,7936,1.36,6/12/2022,12:11:00
0.32305242,32000,0.31012529,7936,1.33,6/12/2022,12:12:00
0.29775269,32000,0.30282901,7936,1.38,6/12/2022,12:12:00
0.29575761,32000,0.31941534,7936,1.38,6/12/2022,12:13:00
0.28581787,32000,0.29493,7936,1.38,6/12/2022,12:14:00
0.27838831,32000,0.29309224,7936,1.38,6/12/2022,12:14:00
0.27451413,32000,0.29129197,7936,1.38,6/12/2022,12:15:00
0.27529618,32000,0.29353373,7936,1.38,6/12/2022,12:16:00
0.50463326,32000,0.33907015,7936,2.13,6/12/2022,12:18:00
0.3183123,32000,0.32345463,7936,2.08,6/12/2022,12:19:00
0.30177713,32000,0.30151201,7936,2.08,6/12/2022,12:21:00
0.29520195,32000,0.30651571,7936,2.08,6/12/2022,12:22:00
0.63715684,32000,0.43400092,7936,0.91,6/12/2022,12:23:00
0.38072131,32000,0.35529655,7936,0.9,6/12/2022,12:23:00
0.33270017,32000,0.32802381,7936,0.88,6/12/2022,12:24:00
0.30994186,32000,0.31256367,7936,0.88,6/12/2022,12:24:00
0.29892961,32000,0.30695302,7936,0.9,6/12/2022,12:25:00
0.29043472,32000,0.30939599,7936,0.88,6/12/2022,12:25:00
0.55550444,32000,0.35286154,7936,1.42,6/12/2022,12:27:00
0.32279377,32000,0.31315683,7936,1.4,6/12/2022,12:27:00
0.30193105,32000,0.29919373,7936,1.38,6/12/2022,12:28:00
0.2923235,32000,0.30197432,7936,1.38,6/12/2022,12:29:00
0.28459007,32000,0.30394012,7936,1.38,6/12/2022,12:29:00
0.27995683,32000,0.29204106,7936,1.38,6/12/2022,12:30:00
0.27507051,32000,0.29449404,7936,1.38,6/12/2022,12:31:00
0.2723006,32000,0.29122958,7936,1.38,6/12/2022,12:31:00
0.69259237,32000,0.69242576,7936,0.78,6/12/2022,12:33:00
0.66002031,32000,0.44197317,7936,0.7,6/12/2022,12:34:00
0.36696685,32000,0.33659051,7936,0.68,6/12/2022,12:34:00
0.31155611,32000,0.32484674,7936,0.66,6/12/2022,12:34:00
